state_fips,state_name_x,fips,county_name_x,mask_mandate,month_started,mandate_duration_months,date,county,state,cases,deaths,popestimate2020
1.0,ALABAMA  ,1071,Jackson County    ,1,7,5,2020-12-31,Jackson,Alabama,5097,34,51582
1.0,ALABAMA  ,1093,Marion County    ,1,7,5,2020-12-31,Marion,Alabama,2087,43,29703
1.0,ALABAMA  ,1073,Jefferson County    ,1,6,6,2020-12-31,Jefferson,Alabama,52339,697,655342
1.0,ALABAMA  ,1063,Greene County    ,1,7,5,2020-12-31,Greene,Alabama,672,20,7990
1.0,ALABAMA  ,1089,Madison County    ,1,7,5,2020-12-31,Madison,Alabama,22197,178,379453
1.0,ALABAMA  ,1125,Tuscaloosa County    ,1,6,6,2020-12-31,Tuscaloosa,Alabama,18468,218,210758
1.0,ALABAMA  ,1025,Clarke County    ,1,7,5,2020-12-31,Clarke,Alabama,2390,25,23291
1.0,ALABAMA  ,1087,Macon County    ,1,6,6,2020-12-31,Macon,Alabama,999,30,17895
1.0,ALABAMA  ,1101,Montgomery County    ,1,6,6,2020-12-31,Montgomery,Alabama,16116,276,224639
1.0,ALABAMA  ,1003,Baldwin County     ,1,7,5,2020-12-31,Baldwin,Alabama,13601,161,229287
1.0,ALABAMA  ,1103,Morgan County    ,1,7,5,2020-12-31,Morgan,Alabama,10627,87,119883
1.0,ALABAMA  ,1117,Shelby County    ,1,7,5,2020-12-31,Shelby,Alabama,15668,103,221428
1.0,ALABAMA  ,1047,Dallas County    ,1,6,6,2020-12-31,Dallas,Alabama,2769,43,36098
1.0,ALABAMA  ,1097,Mobile County    ,1,7,5,2020-12-31,Mobile,Alabama,25858,506,412716
2.0,ALASKA  ,2070,Dillingham Census Area   ,1,6,6,2020-12-31,Dillingham Census Area,Alaska,121,1,4833
2.0,ALASKA  ,2188,Northwest Arctic Borough   ,1,6,6,2020-12-31,Northwest Arctic Borough,Alaska,401,0,7644
2.0,ALASKA  ,2110,Juneau Borough    ,1,7,5,2020-12-31,Juneau City and Borough,Alaska,1030,3,31849
2.0,ALASKA  ,2122,Kenai Peninsula Borough   ,1,7,5,2020-12-31,Kenai Peninsula Borough,Alaska,3604,15,59414
2.0,ALASKA  ,2020,Anchorage Borough    ,1,6,6,2020-12-31,Anchorage,Alaska,22820,118,287095
2.0,ALASKA  ,2261,Valdez-Cordova Census Area   ,1,4,8,2020-12-31,Valdez-Cordova Census Area,Alaska,341,2,
2.0,ALASKA  ,2016,Aleutians West Census Area  ,1,4,8,2020-12-31,Aleutians West Census Area,Alaska,197,0,5680
4.0,ARIZONA  ,4017,Navajo County    ,1,4,8,2020-12-31,Navajo,Arizona,11296,342,112112
4.0,ARIZONA  ,4023,Santa Cruz County   ,1,6,6,2020-12-31,Santa Cruz,Arizona,6002,98,46808
4.0,ARIZONA  ,4005,Coconino County    ,1,6,6,2020-12-31,Coconino,Arizona,11126,210,142481
4.0,ARIZONA  ,4015,Mohave County    ,1,7,5,2020-12-31,Mohave,Arizona,12573,344,217206
4.0,ARIZONA  ,4025,Yavapai County    ,1,6,6,2020-12-31,Yavapai,Arizona,11319,218,240226
4.0,ARIZONA  ,4019,Pima County    ,1,6,6,2020-12-31,Pima,Arizona,69522,1064,1061175
4.0,ARIZONA  ,4007,Gila County    ,1,6,6,2020-12-31,Gila,Arizona,4517,135,54303
4.0,ARIZONA  ,4013,Maricopa County    ,1,6,6,2020-12-31,Maricopa,Arizona,322449,5125,4579081
4.0,ARIZONA  ,4027,Yuma County    ,1,6,6,2020-12-31,Yuma,Arizona,27366,519,217824
5.0,ARKANSAS  ,5125,Saline County    ,1,7,5,2020-12-31,Saline,Arkansas,7563,104,123968
5.0,ARKANSAS  ,5001,Arkansas County    ,1,7,5,2020-12-31,Arkansas,Arkansas,1314,30,17383
5.0,ARKANSAS  ,5029,Conway County    ,1,7,5,2020-12-31,Conway,Arkansas,1306,16,21037
5.0,ARKANSAS  ,5051,Garland County    ,1,3,9,2020-12-31,Garland,Arkansas,5782,153,99789
6.0,CALIFORNIA  ,6087,Santa Cruz County   ,1,4,8,2020-12-31,Santa Cruz,California,8749,83,269925
6.0,CALIFORNIA  ,6065,Riverside County    ,1,4,8,2020-12-31,Riverside,California,180553,1985,2489188
6.0,CALIFORNIA  ,6059,Orange County    ,1,5,7,2020-12-31,Orange,California,166196,1875,3166857
6.0,CALIFORNIA  ,6069,San Benito County   ,1,4,8,2020-12-31,San Benito,California,3673,29,64055
6.0,CALIFORNIA  ,6029,Kern County    ,1,4,8,2020-12-31,Kern,California,68969,512,901362
6.0,CALIFORNIA  ,6001,Alameda County    ,1,4,8,2020-12-31,Alameda,California,51611,657,1662323
6.0,CALIFORNIA  ,6055,Napa County    ,1,5,7,2020-12-31,Napa,California,5742,28,135965
6.0,CALIFORNIA  ,6063,Plumas County    ,1,5,7,2020-12-31,Plumas,California,398,1,18967
6.0,CALIFORNIA  ,6013,Contra Costa County   ,1,4,8,2020-12-31,Contra Costa,California,40697,335,1152333
6.0,CALIFORNIA  ,6101,Sutter County    ,1,5,7,2020-12-31,Sutter,California,6505,52,96385
6.0,CALIFORNIA  ,6113,Yolo County    ,1,4,8,2020-12-31,Yolo,California,8238,111,219728
6.0,CALIFORNIA  ,6037,Los Angeles County   ,1,4,8,2020-12-31,Los Angeles,California,770915,10345,9943046
6.0,CALIFORNIA  ,6073,San Diego County   ,1,5,7,2020-12-31,San Diego,California,155658,1534,3332427
6.0,CALIFORNIA  ,6075,San Francisco County   ,1,5,7,2020-12-31,San Francisco,California,23227,186,866606
6.0,CALIFORNIA  ,6025,Imperial County    ,1,4,8,2020-12-31,Imperial,California,22267,419,180267
6.0,CALIFORNIA  ,6041,Marin County    ,1,4,8,2020-12-31,Marin,California,9800,139,257332
6.0,CALIFORNIA  ,6115,Yuba County    ,1,5,7,2020-12-31,Yuba,California,3898,19,80160
6.0,CALIFORNIA  ,6071,San Bernardino County   ,1,4,8,2020-12-31,San Bernardino,California,194377,1445,2189183
6.0,CALIFORNIA  ,6051,Mono County    ,1,4,8,2020-12-31,Mono,California,868,4,14534
6.0,CALIFORNIA  ,6085,Santa Clara County   ,1,5,7,2020-12-31,Santa Clara,California,69879,710,1907105
6.0,CALIFORNIA  ,6097,Sonoma County    ,1,4,8,2020-12-31,Sonoma,California,19055,192,489819
6.0,CALIFORNIA  ,6045,Mendocino County    ,1,5,7,2020-12-31,Mendocino,California,2558,26,86061
6.0,CALIFORNIA  ,6015,Del Norte County   ,1,5,7,2020-12-31,Del Norte,California,760,2,27968
6.0,CALIFORNIA  ,6023,Humboldt County    ,1,4,8,2020-12-31,Humboldt,California,1764,22,134977
6.0,CALIFORNIA  ,6033,Lake County    ,1,5,7,2020-12-31,Lake,California,1817,23,64479
6.0,CALIFORNIA  ,6081,San Mateo County   ,1,4,8,2020-12-31,San Mateo,California,24589,227,758308
6.0,CALIFORNIA  ,6083,Santa Barbara County   ,1,5,7,2020-12-31,Santa Barbara,California,17391,160,444766
6.0,CALIFORNIA  ,6053,Monterey County    ,1,4,8,2020-12-31,Monterey,California,27859,193,430906
6.0,CALIFORNIA  ,6091,Sierra County    ,1,5,7,2020-12-31,Sierra,California,24,0,2920
8.0,COLORADO  ,8049,Grand County    ,1,6,6,2020-12-31,Grand,Colorado,660,4,15794
8.0,COLORADO  ,8013,Boulder County    ,1,5,7,2020-12-31,Boulder,Colorado,14706,182,327171
8.0,COLORADO  ,8019,Clear Creek County   ,1,7,5,2020-12-31,Clear Creek,Colorado,279,2,9586
8.0,COLORADO  ,8091,Ouray County    ,1,7,5,2020-12-31,Ouray,Colorado,154,3,5001
8.0,COLORADO  ,8005,Arapahoe County    ,1,7,5,2020-12-31,Arapahoe,Colorado,38457,590,657452
8.0,COLORADO  ,8059,Jefferson County    ,1,7,5,2020-12-31,Jefferson,Colorado,29565,612,583283
8.0,COLORADO  ,8115,Sedgwick County    ,1,7,5,2020-12-31,Sedgwick,Colorado,126,2,2260
8.0,COLORADO  ,8107,Routt County    ,1,4,8,2020-12-31,Routt,Colorado,1042,18,25560
8.0,COLORADO  ,8097,Pitkin County    ,1,5,7,2020-12-31,Pitkin,Colorado,1047,4,17894
8.0,COLORADO  ,8015,Chaffee County    ,1,7,5,2020-12-31,Chaffee,Colorado,1020,21,20661
8.0,COLORADO  ,8001,Adams County    ,1,7,5,2020-12-31,Adams,Colorado,40344,529,519883
8.0,COLORADO  ,8037,Eagle County    ,1,7,5,2020-12-31,Eagle,Colorado,3374,16,54929
8.0,COLORADO  ,8069,Larimer County    ,1,5,7,2020-12-31,Larimer,Colorado,15099,142,360428
8.0,COLORADO  ,8111,San Juan County   ,1,5,7,2020-12-31,San Juan,Colorado,27,0,748
8.0,COLORADO  ,8031,Denver County    ,1,5,7,2020-12-31,Denver,Colorado,47711,674,735538
8.0,COLORADO  ,8051,Gunnison County    ,1,6,6,2020-12-31,Gunnison,Colorado,696,6,17593
8.0,COLORADO  ,8117,Summit County    ,1,4,8,2020-12-31,Summit,Colorado,2134,5,30631
9.0,CONNECTICUT  ,9009,New Haven County   ,1,4,8,2020-12-31,New Haven,Connecticut,47375,1529,851948
11.0,DISTRICT OF COLUMBIA,11001,District of Columbia   ,1,5,7,2020-12-31,District of Columbia,District of Columbia,28983,786,712816
12.0,FLORIDA  ,12131,Walton County    ,1,7,5,2020-12-31,Walton,Florida,4891,48,76648
12.0,FLORIDA  ,12021,Collier County    ,1,7,5,2020-12-31,Collier,Florida,22506,332,392973
12.0,FLORIDA  ,12031,Duval County    ,1,6,6,2020-12-31,Duval,Florida,61321,725,966728
12.0,FLORIDA  ,12057,Hillsborough County    ,1,6,6,2020-12-31,Hillsborough,Florida,77118,1071,1497957
