state_fips,state_name_x,fips,county_name_x,county_start_date,county_end_date,state_start_date,state_end_date,earliest_start_date,mask_mandate,month_started,mandate_duration_months,date,county,state,cases,deaths,county_name_y,state_name_y,lat,lng
1.0,ALABAMA  ,1071,Jackson County    ,2020-07-01,,07/16/2020,07/31/2020,7-1-2020,1,7,5,2020-12-31,Jackson,Alabama,5097,34,Jackson,Alabama,34.7795,-85.9994
1.0,ALABAMA  ,1093,Marion County    ,2020-07-09,,07/16/2020,07/31/2020,7-9-2020,1,7,5,2020-12-31,Marion,Alabama,2087,43,Marion,Alabama,34.1366,-87.8871
1.0,ALABAMA  ,1073,Jefferson County    ,2020-06-29,,07/16/2020,07/31/2020,6-29-2020,1,6,6,2020-12-31,Jefferson,Alabama,52339,697,Jefferson,Alabama,33.5543,-86.8964
1.0,ALABAMA  ,1063,Greene County    ,2020-07-01,,07/16/2020,07/31/2020,7-1-2020,1,7,5,2020-12-31,Greene,Alabama,672,20,Greene,Alabama,32.8531,-87.9522
1.0,ALABAMA  ,1089,Madison County    ,2020-07-07,,07/16/2020,07/31/2020,7-7-2020,1,7,5,2020-12-31,Madison,Alabama,22197,178,Madison,Alabama,34.7631,-86.5502
1.0,ALABAMA  ,1125,Tuscaloosa County    ,2020-06-30,  8/5/2020,07/16/2020,07/31/2020,6-30-2020,1,6,6,2020-12-31,Tuscaloosa,Alabama,18468,218,Tuscaloosa,Alabama,33.2896,-87.5251
1.0,ALABAMA  ,1025,Clarke County    ,2020-07-09,  8/4/2020,07/16/2020,07/31/2020,7-9-2020,1,7,5,2020-12-31,Clarke,Alabama,2390,25,Clarke,Alabama,31.6767,-87.8308
1.0,ALABAMA  ,1087,Macon County    ,2020-06-30, 7/31/2020,07/16/2020,07/31/2020,6-30-2020,1,6,6,2020-12-31,Macon,Alabama,999,30,Macon,Alabama,32.3859,-85.6927
1.0,ALABAMA  ,1101,Montgomery County    ,2020-06-19,,07/16/2020,07/31/2020,6-19-2020,1,6,6,2020-12-31,Montgomery,Alabama,16116,276,Montgomery,Alabama,32.2203,-86.2076
1.0,ALABAMA  ,1003,Baldwin County     ,2020-07-06,,07/16/2020,07/31/2020,7-6-2020,1,7,5,2020-12-31,Baldwin,Alabama,13601,161,Baldwin,Alabama,30.7275,-87.7226
