county_name,fips,state_name,lat,lng
Los Angeles,06037,California,34.3207,-118.2248
Cook,17031,Illinois,41.8401,-87.8168
Harris,48201,Texas,29.8577,-95.3936
Maricopa,04013,Arizona,33.349,-112.4915
San Diego,06073,California,33.0341,-116.7353
Orange,06059,California,33.703,-117.7611
Miami-Dade,12086,Florida,25.615,-80.5623
Dallas,48113,Texas,32.7666,-96.7779
Kings,36047,New York,40.6395,-73.9385
Riverside,06065,California,33.7437,-115.9938
Queens,36081,New York,40.7023,-73.8203
King,53033,Washington,47.4902,-121.8052
Clark,32003,Nevada,36.2152,-115.0135
San Bernardino,06071,California,34.8414,-116.1784
Tarrant,48439,Texas,32.7716,-97.2912
Bexar,48029,Texas,29.4489,-98.52
Santa Clara,06085,California,37.2318,-121.6951
Broward,12011,Florida,26.1523,-80.4871
Wayne,26163,Michigan,42.2819,-83.2821
Alameda,06001,California,37.6469,-121.8889
New York,36061,New York,40.7781,-73.9675
Middlesex,25017,Massachusetts,42.4856,-71.3918
Philadelphia,42101,Pennsylvania,40.0077,-75.1339
Sacramento,06067,California,38.4493,-121.3443
Suffolk,36103,New York,40.8686,-72.8448
Palm Beach,12099,Florida,26.6476,-80.4655
Bronx,36005,New York,40.85,-73.866
Hillsborough,12057,Florida,27.9291,-82.3092
Nassau,36059,New York,40.7328,-73.5864
Orange,12095,Florida,28.5144,-81.3235
Franklin,39049,Ohio,39.9695,-83.0093
Oakland,26125,Michigan,42.6604,-83.3858
Cuyahoga,39035,Ohio,41.4245,-81.6586
Hennepin,27053,Minnesota,45.0046,-93.4769
Travis,48453,Texas,30.3347,-97.782
Allegheny,42003,Pennsylvania,40.4688,-79.9812
Fairfax,51059,Virginia,38.8368,-77.277
Contra Costa,06013,California,37.9191,-121.9278
Salt Lake,49035,Utah,40.6673,-111.9236
Mecklenburg,37119,North Carolina,35.2467,-80.8328
Wake,37183,North Carolina,35.7903,-78.6503
Montgomery,24031,Maryland,39.1363,-77.2042
Fulton,13121,Georgia,33.7903,-84.467
Pima,04019,Arizona,32.0974,-111.7899
St. Louis,29189,Missouri,38.6405,-90.4433
Honolulu,15003,Hawaii,21.5008,-158.1053
Fresno,06019,California,36.7582,-119.6493
Collin,48085,Texas,33.1879,-96.5724
Westchester,36119,New York,41.1623,-73.7561
Pinellas,12103,Florida,27.9196,-82.7256
Marion,18097,Indiana,39.7817,-86.1385
Milwaukee,55079,Wisconsin,43.0072,-87.9668
Fairfield,09001,Connecticut,41.2708,-73.3894
Shelby,47157,Tennessee,35.184,-89.8955
Duval,12031,Florida,30.3316,-81.6708
Bergen,34003,New Jersey,40.9596,-74.0742
DuPage,17043,Illinois,41.852,-88.0856
Erie,36029,New York,42.764,-78.7323
Gwinnett,13135,Georgia,33.9617,-84.0236
Prince George's,24033,Maryland,38.8295,-76.8473
Hartford,09003,Connecticut,41.8064,-72.7329
Kern,06029,California,35.3429,-118.7299
Pierce,53053,Washington,47.0241,-122.1046
San Francisco,06075,California,37.7562,-122.443
Macomb,26099,Michigan,42.6955,-82.9323
New Haven,09009,Connecticut,41.4105,-72.9321
Hidalgo,48215,Texas,26.3969,-98.1812
Ventura,06111,California,34.4565,-119.0836
El Paso,48141,Texas,31.7686,-106.2348
Denton,48121,Texas,33.2052,-97.117
Baltimore,24005,Maryland,39.4627,-76.6393
Middlesex,34023,New Jersey,40.4391,-74.4117
Worcester,25027,Massachusetts,42.3514,-71.9077
