state_fips,state_name,fips,county_name,county_start_date,county_end_date,state_start_date,state_end_date,earliest_start_date,mask_mandate,month_started,mandate_duration_months,date,county,state,cases,deaths
1.0,ALABAMA  ,1071,Jackson County    ,2020-07-01,,07/16/2020,07/31/2020,7-1-2020,1,7,5,2020-12-31,Jackson,Alabama,5097,34
1.0,ALABAMA  ,1093,Marion County    ,2020-07-09,,07/16/2020,07/31/2020,7-9-2020,1,7,5,2020-12-31,Marion,Alabama,2087,43
1.0,ALABAMA  ,1073,Jefferson County    ,2020-06-29,,07/16/2020,07/31/2020,6-29-2020,1,6,6,2020-12-31,Jefferson,Alabama,52339,697
1.0,ALABAMA  ,1063,Greene County    ,2020-07-01,,07/16/2020,07/31/2020,7-1-2020,1,7,5,2020-12-31,Greene,Alabama,672,20
1.0,ALABAMA  ,1089,Madison County    ,2020-07-07,,07/16/2020,07/31/2020,7-7-2020,1,7,5,2020-12-31,Madison,Alabama,22197,178
1.0,ALABAMA  ,1125,Tuscaloosa County    ,2020-06-30,  8/5/2020,07/16/2020,07/31/2020,6-30-2020,1,6,6,2020-12-31,Tuscaloosa,Alabama,18468,218
1.0,ALABAMA  ,1025,Clarke County    ,2020-07-09,  8/4/2020,07/16/2020,07/31/2020,7-9-2020,1,7,5,2020-12-31,Clarke,Alabama,2390,25
1.0,ALABAMA  ,1087,Macon County    ,2020-06-30, 7/31/2020,07/16/2020,07/31/2020,6-30-2020,1,6,6,2020-12-31,Macon,Alabama,999,30
1.0,ALABAMA  ,1101,Montgomery County    ,2020-06-19,,07/16/2020,07/31/2020,6-19-2020,1,6,6,2020-12-31,Montgomery,Alabama,16116,276
1.0,ALABAMA  ,1003,Baldwin County     ,2020-07-06,,07/16/2020,07/31/2020,7-6-2020,1,7,5,2020-12-31,Baldwin,Alabama,13601,161
1.0,ALABAMA  ,1103,Morgan County    ,2020-07-16,,07/16/2020,07/31/2020,7-16-2020,1,7,5,2020-12-31,Morgan,Alabama,10627,87
