,state_fips,state_name,fips,county_name,county_start_date,county_end_date,state_start_date,state_end_date,earliest_start_date,mask_mandate,month_started,mandate_duration_months,date,county,state,cases,deaths,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
0,1.0,ALABAMA  ,1071.0,Jackson County    ,2020-07-01,,07/16/2020,07/31/2020,7-1-2020,1,7,5.0,2020-12-31,Jackson,Alabama,5097.0,34.0,50.0,3.0,6.0,1.0,71.0,Alabama,Jackson County,53227,53248.0,53207.0,53240.0,53107.0,52986.0,52592.0,52229.0,52058.0,51865.0,51649.0,51672.0,51642.0,51582.0
1,1.0,ALABAMA  ,1093.0,Marion County    ,2020-07-09,,07/16/2020,07/31/2020,7-9-2020,1,7,5.0,2020-12-31,Marion,Alabama,2087.0,43.0,50.0,3.0,6.0,1.0,93.0,Alabama,Marion County,30776,30780.0,30822.0,30661.0,30495.0,30236.0,30215.0,30137.0,29958.0,29825.0,29776.0,29826.0,29749.0,29703.0
2,1.0,ALABAMA  ,1073.0,Jefferson County    ,2020-06-29,,07/16/2020,07/31/2020,6-29-2020,1,6,6.0,2020-12-31,Jefferson,Alabama,52339.0,697.0,50.0,3.0,6.0,1.0,73.0,Alabama,Jefferson County,658466,658564.0,658230.0,658175.0,658183.0,659434.0,660185.0,660717.0,660507.0,659892.0,659672.0,658539.0,656529.0,655342.0
3,1.0,ALABAMA  ,1063.0,Greene County    ,2020-07-01,,07/16/2020,07/31/2020,7-1-2020,1,7,5.0,2020-12-31,Greene,Alabama,672.0,20.0,50.0,3.0,6.0,1.0,63.0,Alabama,Greene County,9045,9039.0,8990.0,8903.0,8849.0,8749.0,8585.0,8509.0,8485.0,8312.0,8212.0,8104.0,8034.0,7990.0
4,1.0,ALABAMA  ,1089.0,Madison County    ,2020-07-07,,07/16/2020,07/31/2020,7-7-2020,1,7,5.0,2020-12-31,Madison,Alabama,22197.0,178.0,50.0,3.0,6.0,1.0,89.0,Alabama,Madison County,334811,334812.0,336114.0,339623.0,342823.0,346764.0,349973.0,353194.0,356985.0,362061.0,367386.0,372547.0,377894.0,379453.0
5,1.0,ALABAMA  ,1125.0,Tuscaloosa County    ,2020-06-30,  8/5/2020,07/16/2020,07/31/2020,6-30-2020,1,6,6.0,2020-12-31,Tuscaloosa,Alabama,18468.0,218.0,50.0,3.0,6.0,1.0,125.0,Alabama,Tuscaloosa County,194656,194678.0,195008.0,196788.0,198884.0,201192.0,203228.0,204953.0,206737.0,207849.0,208607.0,210321.0,210736.0,210758.0
6,1.0,ALABAMA  ,1025.0,Clarke County    ,2020-07-09,  8/4/2020,07/16/2020,07/31/2020,7-9-2020,1,7,5.0,2020-12-31,Clarke,Alabama,2390.0,25.0,50.0,3.0,6.0,1.0,25.0,Alabama,Clarke County,25833,25834.0,25767.0,25589.0,25161.0,25131.0,24873.0,24711.0,24342.0,24083.0,23965.0,23651.0,23398.0,23291.0
7,1.0,ALABAMA  ,1087.0,Macon County    ,2020-06-30, 7/31/2020,07/16/2020,07/31/2020,6-30-2020,1,6,6.0,2020-12-31,Macon,Alabama,999.0,30.0,50.0,3.0,6.0,1.0,87.0,Alabama,Macon County,21452,21459.0,21515.0,21299.0,20625.0,20043.0,19670.0,19331.0,19077.0,18828.0,18320.0,18065.0,17942.0,17895.0
8,1.0,ALABAMA  ,1101.0,Montgomery County    ,2020-06-19,,07/16/2020,07/31/2020,6-19-2020,1,6,6.0,2020-12-31,Montgomery,Alabama,16116.0,276.0,50.0,3.0,6.0,1.0,101.0,Alabama,Montgomery County,229363,229365.0,229498.0,229218.0,228923.0,228261.0,227647.0,227420.0,227398.0,227514.0,226631.0,226074.0,225131.0,224639.0
9,1.0,ALABAMA  ,1003.0,Baldwin County     ,2020-07-06,,07/16/2020,07/31/2020,7-6-2020,1,7,5.0,2020-12-31,Baldwin,Alabama,13601.0,161.0,50.0,3.0,6.0,1.0,3.0,Alabama,Baldwin County,182265,182263.0,183121.0,186579.0,190203.0,194978.0,199306.0,203101.0,207787.0,212737.0,218071.0,223565.0,227989.0,229287.0
