,state_fips,state_name,fips,county_name_x,mask_mandate,month_started,mandate_duration_months,date,county,state,cases,deaths,popestimate2020,lat,lng,e_results,cases_perc,deaths_perc
0,1.0,ALABAMA,1071,Jackson County    ,1,7,5,2020-12-31,Jackson,Alabama,5097,34,51582.0,34.7795,-85.9994,1,10,0
1,1.0,ALABAMA,1093,Marion County    ,1,7,5,2020-12-31,Marion,Alabama,2087,43,29703.0,34.1366,-87.8871,1,7,0
2,1.0,ALABAMA,1073,Jefferson County    ,1,6,6,2020-12-31,Jefferson,Alabama,52339,697,655342.0,33.5543,-86.8964,1,8,0
3,1.0,ALABAMA,1063,Greene County    ,1,7,5,2020-12-31,Greene,Alabama,672,20,7990.0,32.8531,-87.9522,1,8,0
4,1.0,ALABAMA,1089,Madison County    ,1,7,5,2020-12-31,Madison,Alabama,22197,178,379453.0,34.7631,-86.5502,1,6,0
5,1.0,ALABAMA,1125,Tuscaloosa County    ,1,6,6,2020-12-31,Tuscaloosa,Alabama,18468,218,210758.0,33.2896,-87.5251,1,9,0
6,1.0,ALABAMA,1025,Clarke County    ,1,7,5,2020-12-31,Clarke,Alabama,2390,25,23291.0,31.6767,-87.8308,1,10,0
7,1.0,ALABAMA,1087,Macon County    ,1,6,6,2020-12-31,Macon,Alabama,999,30,17895.0,32.3859,-85.6927,1,6,0
8,1.0,ALABAMA,1101,Montgomery County    ,1,6,6,2020-12-31,Montgomery,Alabama,16116,276,224639.0,32.2203,-86.2076,1,7,0
9,1.0,ALABAMA,1003,Baldwin County     ,1,7,5,2020-12-31,Baldwin,Alabama,13601,161,229287.0,30.7275,-87.7226,1,6,0
10,1.0,ALABAMA,1103,Morgan County    ,1,7,5,2020-12-31,Morgan,Alabama,10627,87,119883.0,34.4535,-86.8529,1,9,0
11,1.0,ALABAMA,1117,Shelby County    ,1,7,5,2020-12-31,Shelby,Alabama,15668,103,221428.0,33.2643,-86.6607,1,7,0
12,1.0,ALABAMA,1047,Dallas County    ,1,6,6,2020-12-31,Dallas,Alabama,2769,43,36098.0,32.326,-87.1065,1,8,0
13,1.0,ALABAMA,1097,Mobile County    ,1,7,5,2020-12-31,Mobile,Alabama,25858,506,412716.0,30.7872,-88.2058,1,6,0
14,2.0,ALASKA,2070,Dillingham Census Area   ,1,6,6,2020-12-31,Dillingham Census Area,Alaska,121,1,4833.0,59.7991,-158.2351,1,3,0
15,2.0,ALASKA,2188,Northwest Arctic Borough   ,1,6,6,2020-12-31,Northwest Arctic Borough,Alaska,401,0,7644.0,67.053,-159.721,1,5,0
16,2.0,ALASKA,2110,Juneau Borough    ,1,7,5,2020-12-31,Juneau City and Borough,Alaska,1030,3,31849.0,58.4546,-134.1739,1,3,0
17,2.0,ALASKA,2122,Kenai Peninsula Borough   ,1,7,5,2020-12-31,Kenai Peninsula Borough,Alaska,3604,15,59414.0,60.2654,-151.5652,1,6,0
18,2.0,ALASKA,2020,Anchorage Borough    ,1,6,6,2020-12-31,Anchorage,Alaska,22820,118,287095.0,61.1508,-149.1091,1,8,0
20,2.0,ALASKA,2016,Aleutians West Census Area  ,1,4,8,2020-12-31,Aleutians West Census Area,Alaska,197,0,5680.0,52.798,-106.6061,1,3,0
21,4.0,ARIZONA,4017,Navajo County    ,1,4,8,2020-12-31,Navajo,Arizona,11296,342,112112.0,35.3997,-110.3214,0,10,0
22,4.0,ARIZONA,4023,Santa Cruz County   ,1,6,6,2020-12-31,Santa Cruz,Arizona,6002,98,46808.0,31.5259,-110.8465,0,13,0
23,4.0,ARIZONA,4005,Coconino County    ,1,6,6,2020-12-31,Coconino,Arizona,11126,210,142481.0,35.8387,-111.7705,0,8,0
24,4.0,ARIZONA,4015,Mohave County    ,1,7,5,2020-12-31,Mohave,Arizona,12573,344,217206.0,35.7041,-113.758,0,6,0
25,4.0,ARIZONA,4025,Yavapai County    ,1,6,6,2020-12-31,Yavapai,Arizona,11319,218,240226.0,34.5999,-112.554,0,5,0
26,4.0,ARIZONA,4019,Pima County    ,1,6,6,2020-12-31,Pima,Arizona,69522,1064,1061175.0,32.0974,-111.7899,0,7,0
27,4.0,ARIZONA,4007,Gila County    ,1,6,6,2020-12-31,Gila,Arizona,4517,135,54303.0,33.7997,-110.8117,0,8,0
28,4.0,ARIZONA,4013,Maricopa County    ,1,6,6,2020-12-31,Maricopa,Arizona,322449,5125,4579081.0,33.349,-112.4915,0,7,0
29,4.0,ARIZONA,4027,Yuma County    ,1,6,6,2020-12-31,Yuma,Arizona,27366,519,217824.0,32.7695,-113.9056,0,13,0
30,5.0,ARKANSAS,5125,Saline County    ,1,7,5,2020-12-31,Saline,Arkansas,7563,104,123968.0,34.6466,-92.6765,1,6,0
31,5.0,ARKANSAS,5001,Arkansas County    ,1,7,5,2020-12-31,Arkansas,Arkansas,1314,30,17383.0,34.2908,-91.3749,1,8,0
32,5.0,ARKANSAS,5029,Conway County    ,1,7,5,2020-12-31,Conway,Arkansas,1306,16,21037.0,35.2622,-92.7013,1,6,0
33,5.0,ARKANSAS,5051,Garland County    ,1,3,9,2020-12-31,Garland,Arkansas,5782,153,99789.0,34.5767,-93.1504,1,6,0
34,6.0,CALIFORNIA,6087,Santa Cruz County   ,1,4,8,2020-12-31,Santa Cruz,California,8749,83,269925.0,37.0562,-122.0018,0,3,0
35,6.0,CALIFORNIA,6065,Riverside County    ,1,4,8,2020-12-31,Riverside,California,180553,1985,2489188.0,33.7437,-115.9938,0,7,0
36,6.0,CALIFORNIA,6059,Orange County    ,1,5,7,2020-12-31,Orange,California,166196,1875,3166857.0,33.703,-117.7611,0,5,0
37,6.0,CALIFORNIA,6069,San Benito County   ,1,4,8,2020-12-31,San Benito,California,3673,29,64055.0,36.6057,-121.075,0,6,0
38,6.0,CALIFORNIA,6029,Kern County    ,1,4,8,2020-12-31,Kern,California,68969,512,901362.0,35.3429,-118.7299,0,8,0
39,6.0,CALIFORNIA,6001,Alameda County    ,1,4,8,2020-12-31,Alameda,California,51611,657,1662323.0,37.6469,-121.8889,0,3,0
40,6.0,CALIFORNIA,6055,Napa County    ,1,5,7,2020-12-31,Napa,California,5742,28,135965.0,38.5065,-122.3305,0,4,0
41,6.0,CALIFORNIA,6063,Plumas County    ,1,5,7,2020-12-31,Plumas,California,398,1,18967.0,40.0046,-120.8385,0,2,0
42,6.0,CALIFORNIA,6013,Contra Costa County   ,1,4,8,2020-12-31,Contra Costa,California,40697,335,1152333.0,37.9191,-121.9278,0,4,0
43,6.0,CALIFORNIA,6101,Sutter County    ,1,5,7,2020-12-31,Sutter,California,6505,52,96385.0,39.0346,-121.6948,0,7,0
44,6.0,CALIFORNIA,6113,Yolo County    ,1,4,8,2020-12-31,Yolo,California,8238,111,219728.0,38.6866,-121.9016,0,4,0
45,6.0,CALIFORNIA,6037,Los Angeles County   ,1,4,8,2020-12-31,Los Angeles,California,770915,10345,9943046.0,34.3207,-118.2248,0,8,0
46,6.0,CALIFORNIA,6073,San Diego County   ,1,5,7,2020-12-31,San Diego,California,155658,1534,3332427.0,33.0341,-116.7353,0,5,0
47,6.0,CALIFORNIA,6075,San Francisco County   ,1,5,7,2020-12-31,San Francisco,California,23227,186,866606.0,37.7562,-122.443,0,3,0
48,6.0,CALIFORNIA,6025,Imperial County    ,1,4,8,2020-12-31,Imperial,California,22267,419,180267.0,33.0395,-115.3654,0,12,0
49,6.0,CALIFORNIA,6041,Marin County    ,1,4,8,2020-12-31,Marin,California,9800,139,257332.0,38.0734,-122.7234,0,4,0
50,6.0,CALIFORNIA,6115,Yuba County    ,1,5,7,2020-12-31,Yuba,California,3898,19,80160.0,39.269,-121.3513,0,5,0
51,6.0,CALIFORNIA,6071,San Bernardino County   ,1,4,8,2020-12-31,San Bernardino,California,194377,1445,2189183.0,34.8414,-116.1784,0,9,0
52,6.0,CALIFORNIA,6051,Mono County    ,1,4,8,2020-12-31,Mono,California,868,4,14534.0,37.9391,-118.8868,0,6,0
53,6.0,CALIFORNIA,6085,Santa Clara County   ,1,5,7,2020-12-31,Santa Clara,California,69879,710,1907105.0,37.2318,-121.6951,0,4,0
54,6.0,CALIFORNIA,6097,Sonoma County    ,1,4,8,2020-12-31,Sonoma,California,19055,192,489819.0,38.5283,-122.8874,0,4,0
55,6.0,CALIFORNIA,6045,Mendocino County    ,1,5,7,2020-12-31,Mendocino,California,2558,26,86061.0,39.4402,-123.3915,0,3,0
56,6.0,CALIFORNIA,6015,Del Norte County   ,1,5,7,2020-12-31,Del Norte,California,760,2,27968.0,41.7431,-123.8972,0,3,0
57,6.0,CALIFORNIA,6023,Humboldt County    ,1,4,8,2020-12-31,Humboldt,California,1764,22,134977.0,40.6993,-123.8756,0,1,0
58,6.0,CALIFORNIA,6033,Lake County    ,1,5,7,2020-12-31,Lake,California,1817,23,64479.0,39.0996,-122.7532,0,3,0
59,6.0,CALIFORNIA,6081,San Mateo County   ,1,4,8,2020-12-31,San Mateo,California,24589,227,758308.0,37.4229,-122.329,0,3,0
